year,actual,fitted,type,country_code,dataset
2008,38471.5,37938.41538462043,historical,DE,htec_emp_nat2
2009,38392.6,38241.092307694256,historical,DE,htec_emp_nat2
2010,37911.9,38553.3139860183,historical,DE,htec_emp_nat2
2011,38689.5,38875.08041958138,historical,DE,htec_emp_nat2
2012,39018.5,39206.39160839841,historical,DE,htec_emp_nat2
2013,39407.2,39547.247552450746,historical,DE,htec_emp_nat2
2014,39734.6,39897.648251749575,historical,DE,htec_emp_nat2
2015,40058.0,40257.59370629862,historical,DE,htec_emp_nat2
2016,41107.1,40627.0839160867,historical,DE,htec_emp_nat2
2017,41489.8,41006.118881125,historical,DE,htec_emp_nat2
2018,41735.2,41394.69860140234,historical,DE,htec_emp_nat2
2019,42221.2,41792.8230769299,historical,DE,htec_emp_nat2
2020,41300.9,42200.49230769649,historical,DE,htec_emp_nat2
2021,40682.3,42617.70629370585,historical,DE,htec_emp_nat2
2022,41735.2,43044.46503496915,historical,DE,htec_emp_nat2
2023,42270.4,43480.768531467766,historical,DE,htec_emp_nat2
2024,42480.1,43926.61678322032,historical,DE,htec_emp_nat2
2025,,44382.009790211916,forecast,DE,htec_emp_nat2
2026,,44846.94755245373,forecast,DE,htec_emp_nat2
2027,,45321.43006993458,forecast,DE,htec_emp_nat2
2028,,45805.45734265819,forecast,DE,htec_emp_nat2
2029,,46299.02937063202,forecast,DE,htec_emp_nat2
2004,947.6,1018.9628676478751,historical,DE,isoc_sks_itsps
2005,1047.4,1030.2219852944836,historical,DE,isoc_sks_itsps
2006,1061.9,1043.297174370382,historical,DE,isoc_sks_itsps
2007,1076.9,1058.1884348741733,historical,DE,isoc_sks_itsps
2008,1121.2,1074.8957668072544,historical,DE,isoc_sks_itsps
2009,1143.1,1093.4191701682284,historical,DE,isoc_sks_itsps
2010,1189.5,1113.7586449584924,historical,DE,isoc_sks_itsps
2011,1009.3,1135.9141911766492,historical,DE,isoc_sks_itsps
2012,1148.0,1159.8858088240959,historical,DE,isoc_sks_itsps
2013,1178.8,1185.6734978994355,historical,DE,isoc_sks_itsps
2014,1183.4,1213.277258404065,historical,DE,isoc_sks_itsps
2015,1226.9,1242.6970903361216,historical,DE,isoc_sks_itsps
2016,1285.6,1273.9329936979339,historical,DE,isoc_sks_itsps
2017,1298.3,1306.984968487639,historical,DE,isoc_sks_itsps
2018,1349.9,1341.853014706634,historical,DE,isoc_sks_itsps
2019,1403.7,1378.5371323530562,historical,DE,isoc_sks_itsps
2020,1594.3,1417.037321429234,historical,DE,isoc_sks_itsps
2021,1622.7,1457.353581932839,historical,DE,isoc_sks_itsps
2022,1699.0,1499.4859138661996,historical,DE,isoc_sks_itsps
2023,1708.1,1543.4343172269873,historical,DE,isoc_sks_itsps
2024,1832.2,1589.1987920175306,historical,DE,isoc_sks_itsps
2025,,1636.7793382355012,forecast,DE,isoc_sks_itsps
2026,,1686.1759558827616,forecast,DE,isoc_sks_itsps
