job_id,refnr,title,employer,location,region,occupation_code,occupation_label,published_date,source
14087-32HVY5BE2LQXJQ1R-S_43494,14087-32HVY5BE2LQXJQ1R-S,Kommissionierer (m/w/d),PERSO PLANKONTOR Nord GmbH,Löningen,Niedersachsen,43494,Other IT Roles,2026-03-17,bundesagentur
14087-U5VQA3KE860CTCN0-S_43494,14087-U5VQA3KE860CTCN0-S,Staplerfahrer (m/w/d) ,PERSO PLANKONTOR Nord GmbH,Wildeshausen,Niedersachsen,43494,Other IT Roles,2026-03-17,bundesagentur
13928-NBPRY3MGCZQ069X3-S_43494,13928-NBPRY3MGCZQ069X3-S,Arbeitsvorbereiter/in (m/w/d),Personallösungen FBI GmbH gew. Arbeitnehmerüberlassung,Hamburg,Hamburg,43494,Other IT Roles,2026-03-17,bundesagentur
14087-7E13VQ9NR60CWRLP-S_43494,14087-7E13VQ9NR60CWRLP-S,Altenpfleger (m/w/d) in Teilzeit,PERSO PLANKONTOR Nord GmbH,Bersenbrück,Niedersachsen,43494,Other IT Roles,2026-03-17,bundesagentur
12952-2026_1501124-S_43494,12952-2026_1501124-S,"Päd. Fachkraft (m/w/d) - Kitas St. Gallus/Arche Noah, Ludwigshafen, TZ, 21,25h, befristet",Bistum Speyer - Regionalverwaltung Ludwigshafen,Ludwigshafen am Rhein,Rheinland-Pfalz,43494,Other IT Roles,2026-03-17,bundesagentur
14795-65725_116884-S_43494,14795-65725_116884-S,Gruppenleitung im Außendienst im Fachbereich Vermessung (m/w/d),BA Pankow von Berlin,Berlin,Berlin,43494,Other IT Roles,2026-03-17,bundesagentur
15330-j144S3722-9353-S_43494,15330-j144S3722-9353-S,Lkw-Fahrer/in (m/w/d) im Fernverkehr,KTV Speditionsgesellschaft mbH,Hemslingen,Niedersachsen,43494,Other IT Roles,2026-03-17,bundesagentur
10000-1205872498-S_43494,10000-1205872498-S,Produktionsmitarbeiter (m/w/d),bindan GmbH & Co. KG,Mönchengladbach,Nordrhein-Westfalen,43494,Other IT Roles,2026-03-17,bundesagentur
10001-1002781129-S_43494,10001-1002781129-S,Produktionshelfer (m/w/d),co Management Kempten,Altusried,Bayern,43494,Other IT Roles,2026-03-17,bundesagentur
10000-1205871234-S_43494,10000-1205871234-S,Urlaubsretter (m/w/d) bei Mietrad Cuxhaven,Mietrad Cuxhaven GmbH,Cuxhaven,Niedersachsen,43494,Other IT Roles,2026-03-17,bundesagentur
16986-JOB-115336-S_43494,16986-JOB-115336-S,Sozialpädagogische Fachkraft (w/m/d) in der schulischen Sozialarbeit,Regionales Landesamt f. Schule u. Bildung OS Osnabrück Land Niedersachsen,Stadland,Niedersachsen,43494,Other IT Roles,2026-03-17,bundesagentur
10001-1002780070-S_43494,10001-1002780070-S,Mitarbeiter Abfertigung (m/w/d),Hermes Germany GmbH,"Graben, Lechfeld",Bayern,43494,Other IT Roles,2026-03-17,bundesagentur
10001-1002781127-S_43494,10001-1002781127-S,Auszubildende zum Kaufmann / zur Kauffrau im Einzelhandel,Bittl Schuhe + Sport GmbH,München,Bayern,43494,Other IT Roles,2026-03-17,bundesagentur
