country_code,country,year,isoc_sks_itsps,htec_emp_nat2,jvs_q_nace2,isoc_sks_itsps_index_de100,htec_emp_nat2_index_de100,jvs_q_nace2_index_de100
DE,Germany,2024,1832.2,42480.1,1177049.0,100.0,100.0,100.0
DE,Germany,2024,1832.2,42480.1,1057735.0,100.0,100.0,89.9
DE,Germany,2024,1832.2,42480.1,1033010.0,100.0,100.0,87.8
DE,Germany,2024,1832.2,42480.1,1244089.0,100.0,100.0,105.7
EE,Estonia,2024,36.9,698.6,9130.0,2.0,1.6,0.8
EE,Estonia,2024,36.9,698.6,10344.0,2.0,1.6,0.9
EE,Estonia,2024,36.9,698.6,9375.0,2.0,1.6,0.8
EU27_2020,European Union - 27 countries (from 2020),2024,8273.9,206502.6,,451.6,486.1,
IE,Ireland,2024,131.2,2737.2,,7.2,6.4,
NL,Netherlands,2024,556.1,9797.6,396700.0,30.4,23.1,33.7
NL,Netherlands,2024,556.1,9797.6,402700.0,30.4,23.1,34.2
NL,Netherlands,2024,556.1,9797.6,384300.0,30.4,23.1,32.6
NO,Norway,2024,125.7,2888.7,107350.0,6.9,6.8,9.1
NO,Norway,2024,125.7,2888.7,94650.0,6.9,6.8,8.0
NO,Norway,2024,125.7,2888.7,82597.0,6.9,6.8,7.0
NO,Norway,2024,125.7,2888.7,74036.0,6.9,6.8,6.3
PL,Poland,2024,636.6,17190.5,101026.0,34.7,40.5,8.6
PL,Poland,2024,636.6,17190.5,95734.0,34.7,40.5,8.1
PL,Poland,2024,636.6,17190.5,94738.0,34.7,40.5,8.0
PT,Portugal,2024,202.5,5083.4,56948.0,11.1,12.0,4.8
PT,Portugal,2024,202.5,5083.4,54987.0,11.1,12.0,4.7
PT,Portugal,2024,202.5,5083.4,56952.0,11.1,12.0,4.8
