country_code,country,year,value,dataset
EU27_2020,European Union - 27 countries (from 2020),2008,192779.4,htec_emp_nat2
EU27_2020,European Union - 27 countries (from 2020),2009,189294.7,htec_emp_nat2
EU27_2020,European Union - 27 countries (from 2020),2010,186516.6,htec_emp_nat2
EU27_2020,European Union - 27 countries (from 2020),2011,186525.5,htec_emp_nat2
EU27_2020,European Union - 27 countries (from 2020),2012,185787.9,htec_emp_nat2
EU27_2020,European Union - 27 countries (from 2020),2013,185045.2,htec_emp_nat2
EU27_2020,European Union - 27 countries (from 2020),2014,187209.2,htec_emp_nat2
EU27_2020,European Union - 27 countries (from 2020),2015,189226.5,htec_emp_nat2
EU27_2020,European Union - 27 countries (from 2020),2016,192089.6,htec_emp_nat2
EU27_2020,European Union - 27 countries (from 2020),2017,195050.4,htec_emp_nat2
EU27_2020,European Union - 27 countries (from 2020),2018,197122.4,htec_emp_nat2
EU27_2020,European Union - 27 countries (from 2020),2019,199354.0,htec_emp_nat2
EU27_2020,European Union - 27 countries (from 2020),2020,196320.6,htec_emp_nat2
EU27_2020,European Union - 27 countries (from 2020),2021,197198.9,htec_emp_nat2
EU27_2020,European Union - 27 countries (from 2020),2022,201977.2,htec_emp_nat2
EU27_2020,European Union - 27 countries (from 2020),2023,204425.3,htec_emp_nat2
EU27_2020,European Union - 27 countries (from 2020),2024,206502.6,htec_emp_nat2
DE,Germany,2008,38471.5,htec_emp_nat2
DE,Germany,2009,38392.6,htec_emp_nat2
DE,Germany,2010,37911.9,htec_emp_nat2
DE,Germany,2011,38689.5,htec_emp_nat2
DE,Germany,2012,39018.5,htec_emp_nat2
DE,Germany,2013,39407.2,htec_emp_nat2
DE,Germany,2014,39734.6,htec_emp_nat2
DE,Germany,2015,40058.0,htec_emp_nat2
DE,Germany,2016,41107.1,htec_emp_nat2
DE,Germany,2017,41489.8,htec_emp_nat2
DE,Germany,2018,41735.2,htec_emp_nat2
DE,Germany,2019,42221.2,htec_emp_nat2
DE,Germany,2020,41300.9,htec_emp_nat2
DE,Germany,2021,40682.3,htec_emp_nat2
DE,Germany,2022,41735.2,htec_emp_nat2
DE,Germany,2023,42270.4,htec_emp_nat2
DE,Germany,2024,42480.1,htec_emp_nat2
EE,Estonia,2008,656.0,htec_emp_nat2
EE,Estonia,2009,593.9,htec_emp_nat2
EE,Estonia,2010,568.0,htec_emp_nat2
EE,Estonia,2011,603.2,htec_emp_nat2
EE,Estonia,2012,614.9,htec_emp_nat2
EE,Estonia,2013,621.3,htec_emp_nat2
EE,Estonia,2014,624.8,htec_emp_nat2
EE,Estonia,2015,632.8,htec_emp_nat2
EE,Estonia,2016,638.7,htec_emp_nat2
EE,Estonia,2017,650.3,htec_emp_nat2
EE,Estonia,2018,656.5,htec_emp_nat2
EE,Estonia,2019,662.2,htec_emp_nat2
EE,Estonia,2020,646.8,htec_emp_nat2
EE,Estonia,2021,650.5,htec_emp_nat2
EE,Estonia,2022,677.3,htec_emp_nat2
EE,Estonia,2023,694.6,htec_emp_nat2
EE,Estonia,2024,698.6,htec_emp_nat2
IE,Ireland,2008,2191.1,htec_emp_nat2
IE,Ireland,2009,2007.9,htec_emp_nat2
IE,Ireland,2010,1917.9,htec_emp_nat2
IE,Ireland,2011,1880.8,htec_emp_nat2
IE,Ireland,2012,1873.1,htec_emp_nat2
IE,Ireland,2013,1930.0,htec_emp_nat2
IE,Ireland,2014,1980.1,htec_emp_nat2
IE,Ireland,2015,2047.0,htec_emp_nat2
IE,Ireland,2016,2122.2,htec_emp_nat2
IE,Ireland,2017,2184.1,htec_emp_nat2
IE,Ireland,2018,2245.8,htec_emp_nat2
IE,Ireland,2019,2310.8,htec_emp_nat2
IE,Ireland,2020,2279.6,htec_emp_nat2
