country_code,country,year,value,dataset
EU27_2020,European Union - 27 countries (from 2020),2004,4365.1,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2005,4701.4,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2006,4932.0,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2007,5074.9,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2008,5203.6,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2009,5224.8,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2010,5267.7,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2011,4720.3,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2012,4937.8,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2013,5128.5,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2014,5311.7,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2015,5481.6,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2016,5745.8,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2017,5952.3,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2018,6274.5,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2019,6487.1,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2020,6892.2,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2021,7245.2,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2022,7628.9,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2023,7903.6,isoc_sks_itsps
EU27_2020,European Union - 27 countries (from 2020),2024,8273.9,isoc_sks_itsps
DE,Germany,2004,947.6,isoc_sks_itsps
DE,Germany,2005,1047.4,isoc_sks_itsps
DE,Germany,2006,1061.9,isoc_sks_itsps
DE,Germany,2007,1076.9,isoc_sks_itsps
DE,Germany,2008,1121.2,isoc_sks_itsps
DE,Germany,2009,1143.1,isoc_sks_itsps
DE,Germany,2010,1189.5,isoc_sks_itsps
DE,Germany,2011,1009.3,isoc_sks_itsps
DE,Germany,2012,1148.0,isoc_sks_itsps
DE,Germany,2013,1178.8,isoc_sks_itsps
DE,Germany,2014,1183.4,isoc_sks_itsps
