occupation_label,region,job_count,unique_employers,occupation_share_pct
Data Engineering / Databases,Baden-Württemberg,8,7,19.05
Data Engineering / Databases,Bayern,17,16,19.77
Data Engineering / Databases,Berlin,3,2,18.75
Data Engineering / Databases,Bremen,4,3,20.0
Data Engineering / Databases,Hamburg,5,3,22.73
Data Engineering / Databases,Hessen,4,3,18.18
Data Engineering / Databases,Mecklenburg-Vorpommern,2,1,20.0
Data Engineering / Databases,Niedersachsen,20,14,19.23
Data Engineering / Databases,Nordrhein-Westfalen,13,11,19.12
Data Engineering / Databases,Rheinland-Pfalz,4,4,18.18
Data Engineering / Databases,Sachsen,4,3,20.0
Data Engineering / Databases,Sachsen-Anhalt,3,3,20.0
Data Engineering / Databases,Schleswig-Holstein,3,3,20.0
Data Engineering / Databases,Thüringen,9,8,20.0
IT Consulting,Baden-Wuerttemberg,1,1,100.0
IT Consulting,Baden-Württemberg,8,7,19.05
IT Consulting,Bayern,17,16,19.77
IT Consulting,Berlin,3,2,18.75
IT Consulting,Bremen,4,3,20.0
IT Consulting,Hamburg,4,2,18.18
IT Consulting,Hessen,4,3,18.18
IT Consulting,Mecklenburg-Vorpommern,2,1,20.0
IT Consulting,Niedersachsen,20,14,19.23
IT Consulting,Nordrhein-Westfalen,13,11,19.12
IT Consulting,Rheinland-Pfalz,4,4,18.18
IT Consulting,Sachsen,4,3,20.0
IT Consulting,Sachsen-Anhalt,3,3,20.0
IT Consulting,Schleswig-Holstein,3,3,20.0
IT Consulting,Thüringen,9,8,20.0
IT System Administration,Baden-Württemberg,9,8,21.43
IT System Administration,Bayern,17,16,19.77
IT System Administration,Berlin,3,2,18.75
IT System Administration,Bremen,4,3,20.0
IT System Administration,Hamburg,4,2,18.18
IT System Administration,Hessen,4,3,18.18
IT System Administration,Mecklenburg-Vorpommern,2,1,20.0
IT System Administration,Niedersachsen,20,14,19.23
IT System Administration,Nordrhein-Westfalen,14,12,20.59
IT System Administration,Rheinland-Pfalz,4,4,18.18
IT System Administration,Sachsen,4,3,20.0
IT System Administration,Sachsen-Anhalt,3,3,20.0
IT System Administration,Schleswig-Holstein,3,3,20.0
IT System Administration,Thüringen,9,8,20.0
Other IT Roles,Baden-Württemberg,8,7,19.05
Other IT Roles,Bayern,17,16,19.77
Other IT Roles,Berlin,4,3,25.0
Other IT Roles,Bremen,4,3,20.0
Other IT Roles,Hamburg,5,3,22.73
Other IT Roles,Hessen,6,5,27.27
Other IT Roles,Mecklenburg-Vorpommern,2,1,20.0
Other IT Roles,Niedersachsen,26,15,25.0
Other IT Roles,Nordrhein-Westfalen,13,11,19.12
Other IT Roles,Rheinland-Pfalz,5,4,22.73
Other IT Roles,Sachsen,4,3,20.0
Other IT Roles,Sachsen-Anhalt,3,3,20.0
Other IT Roles,Schleswig-Holstein,3,3,20.0
Other IT Roles,Thüringen,9,8,20.0
Software Development,Baden-Württemberg,9,8,21.43
Software Development,Bayern,18,16,20.93
Software Development,Berlin,3,2,18.75
Software Development,Bremen,4,3,20.0
Software Development,Hamburg,4,2,18.18
Software Development,Hessen,4,3,18.18
Software Development,Mecklenburg-Vorpommern,2,1,20.0
Software Development,Niedersachsen,18,12,17.31
Software Development,Nordrhein-Westfalen,15,13,22.06
Software Development,Rheinland-Pfalz,5,5,22.73
Software Development,Sachsen,4,3,20.0
Software Development,Sachsen-Anhalt,3,3,20.0
Software Development,Schleswig-Holstein,3,3,20.0
Software Development,Thüringen,9,8,20.0
